 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | fakes |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | JET_Pileup_RhoTopology | 3.67777e-06 / -3.67649e-06 | 0.0046204 / -0.00462045 | 0.00289767 / -0.00289765 | 0.005446 / -0.00544599 | -0.000958087 / 0.000958083 | 0.070223 / -0.070223 | 0.00594892 / -0.0059489 | 0 / 0 |
 | JET_SingleParticle_HighPt | -3.37274e-08 / -3.37274e-08 | 0.000130312 / -0.0001303 | 0.00011045 / -0.000110436 | -0.000316342 / 0.00031636 | -1.95969e-07 / 1.92061e-07 | -3.25059e-06 / 3.23042e-06 | -9.09083e-06 / 9.10736e-06 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.343546 / 0.343546 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Wjets | 0 / 0 | -0.254005 / 0.254005 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Wjets | 0 / 0 | -0.0296092 / 0.0296092 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Wjets | 0 / 0 | 0.0180371 / -0.0180371 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Wjets | 0 / 0 | 0.0915747 / -0.0915747 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.277533 / 0.277533 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | 0 / 0 | -0.129347 / 0.129347 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.0432047 / 0.0432047 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0 / 0 | 0.00169546 / -0.00169546 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0 / 0 | 0.0457608 / -0.0457608 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | fakes stat. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.133033 / -0.133033 |
 | fakes syst. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.184109 / -0.184109 |
 | gamma_stat_Signal_bin_0 | 0.000160348 / -0.000160348 | 0.0264525 / -0.0264525 | 0.0270756 / -0.0270756 | 0.0261851 / -0.0261851 | 0.0246613 / -0.0246613 | 0.0282745 / -0.0282745 | 0.0256157 / -0.0256157 | 0.0243726 / -0.0243726 |
 | gamma_stat_Signal_bin_1 | 0.000836902 / -0.000836902 | 0.00167589 / -0.00167589 | 0.00107741 / -0.00107741 | 0.00194393 / -0.00194393 | 0.00381254 / -0.00381254 | 6.48766e-08 / -6.48766e-08 | 0.00208661 / -0.00208661 | 0.00361275 / -0.00361275 |
 | gamma_stat_Signal_bin_2 | 0.00226276 / -0.00226276 | 9.75441e-05 / -9.75441e-05 | 6.85155e-05 / -6.85155e-05 | 0.000111401 / -0.000111401 | 2.20016e-09 / -2.20016e-09 | 2.93982e-08 / -2.93982e-08 | 0.00032553 / -0.00032553 | 0.000203121 / -0.000203121 |
 | gamma_stat_Signal_bin_3 | 0.00488728 / -0.00488728 | 6.43987e-06 / -6.43987e-06 | 7.50354e-06 / -7.50354e-06 | 3.05846e-06 / -3.05846e-06 | 9.95642e-10 / -9.95642e-10 | 1.33036e-08 / -1.33036e-08 | 1.11509e-07 / -1.11509e-07 | 1.15121e-05 / -1.15121e-05 |
