 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | Luminosity | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 | 0.019 / -0.019 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.362427 / 0.362427 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUR_Zjets | 0 / 0 | 0 / 0 | -0.248684 / 0.248684 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUF_Zjets | 0 / 0 | 0 / 0 | -0.0460388 / 0.0460388 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | AlphaS_Zjets | 0 / 0 | 0 / 0 | 0.0195499 / -0.0195499 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF_Zjets | 0 / 0 | 0 / 0 | 0.0591984 / -0.0591984 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | jj total | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.2 / -0.2 |
 | gamma_stat_Signal_bin_0 | 0.000389147 / -0.000389147 | 0.0356871 / -0.0356871 | 0.036679 / -0.036679 | 0.0360047 / -0.0360047 | 0.0402371 / -0.0402371 | 0.0357105 / -0.0357105 | 0.0327083 / -0.0327083 | 0.0106501 / -0.0106501 |
 | gamma_stat_Signal_bin_1 | 0.000781551 / -0.000781551 | 0.00890766 / -0.00890766 | 0.00820587 / -0.00820587 | 0.0102935 / -0.0102935 | 0.00750934 / -0.00750934 | 0.00914607 / -0.00914607 | 0.00691088 / -0.00691088 | 0.0334117 / -0.0334117 |
 | gamma_stat_Signal_bin_2 | 0.00144905 / -0.00144905 | 0.00262956 / -0.00262956 | 0.00311419 / -0.00311419 | 0.00274618 / -0.00274618 | 0.0010545 / -0.0010545 | 0.00584086 / -0.00584086 | 0.00389288 / -0.00389288 | 0.00296586 / -0.00296586 |
 | gamma_stat_Signal_bin_3 | 0.00205729 / -0.00205729 | 0.00105865 / -0.00105865 | 0.000825317 / -0.000825317 | 0.000630907 / -0.000630907 | 0.000951902 / -0.000951902 | 2.38734e-08 / -2.38734e-08 | 0.000974709 / -0.000974709 | 8.85481e-06 / -8.85481e-06 |
 | gamma_stat_Signal_bin_4 | 0.0024888 / -0.0024888 | 0.000412461 / -0.000412461 | 0.000356166 / -0.000356166 | 0.000164746 / -0.000164746 | 0.000157144 / -0.000157144 | 1.95785e-08 / -1.95785e-08 | 0.000839679 / -0.000839679 | 3.18e-05 / -3.18e-05 |
 | gamma_stat_Signal_bin_5 | 0.00266114 / -0.00266114 | 0.000162074 / -0.000162074 | 0.000104215 / -0.000104215 | 0.000105091 / -0.000105091 | 9.18041e-09 / -9.18041e-09 | 1.83618e-08 / -1.83618e-08 | 0.000316512 / -0.000316512 | 2.96673e-05 / -2.96673e-05 |
 | gamma_stat_Signal_bin_6 | 0.00244446 / -0.00244446 | 9.9028e-05 / -9.9028e-05 | 8.09989e-05 / -8.09989e-05 | 5.16089e-05 / -5.16089e-05 | 0.000583014 / -0.000583014 | 1.91269e-08 / -1.91269e-08 | 4.33038e-07 / -4.33038e-07 | 1.178e-07 / -1.178e-07 |
 | gamma_stat_Signal_bin_7 | 0.0023019 / -0.0023019 | 7.146e-05 / -7.146e-05 | 0.000107805 / -0.000107805 | 2.94305e-05 / -2.94305e-05 | 0.00043141 / -0.00043141 | 2.09925e-08 / -2.09925e-08 | 4.75276e-07 / -4.75276e-07 | 5.99374e-06 / -5.99374e-06 |
 | gamma_stat_Signal_bin_8 | 0.0020221 / -0.0020221 | 0.000103482 / -0.000103482 | 0.000108129 / -0.000108129 | 0.000111096 / -0.000111096 | 1.20013e-08 / -1.20013e-08 | 2.4004e-08 / -2.4004e-08 | 5.43457e-07 / -5.43457e-07 | 1.33038e-07 / -1.33038e-07 |
 | gamma_stat_Signal_bin_9 | 0.00174853 / -0.00174853 | 1.9943e-05 / -1.9943e-05 | 1.69405e-05 / -1.69405e-05 | 8.51677e-05 / -8.51677e-05 | 1.40509e-08 / -1.40509e-08 | 2.81034e-08 / -2.81034e-08 | 6.36269e-07 / -6.36269e-07 | 1.99822e-07 / -1.99822e-07 |
 | gamma_stat_Signal_bin_10 | 0.00142483 / -0.00142483 | 0.00013348 / -0.00013348 | 0.000101193 / -0.000101193 | 4.26343e-05 / -4.26343e-05 | 1.63816e-08 / -1.63816e-08 | 3.27649e-08 / -3.27649e-08 | 7.41807e-07 / -7.41807e-07 | 3.62067e-08 / -3.62067e-08 |
 | gamma_stat_Signal_bin_11 | 0.00133561 / -0.00133561 | 0.000127255 / -0.000127255 | 0.000104103 / -0.000104103 | 1.71763e-05 / -1.71763e-05 | 1.92621e-08 / -1.92621e-08 | 3.85262e-08 / -3.85262e-08 | 8.72244e-07 / -8.72244e-07 | 3.24539e-08 / -3.24539e-08 |
 | gamma_stat_Signal_bin_12 | 0.001211 / -0.001211 | 2.59357e-05 / -2.59357e-05 | 1.79799e-05 / -1.79799e-05 | 3.03359e-05 / -3.03359e-05 | 2.19232e-08 / -2.19232e-08 | 4.38488e-08 / -4.38488e-08 | 9.92748e-07 / -9.92748e-07 | 1.49412e-07 / -1.49412e-07 |
 | gamma_stat_Signal_bin_13 | 0.00112882 / -0.00112882 | 7.73331e-05 / -7.73331e-05 | 2.16454e-05 / -2.16454e-05 | 3.18032e-05 / -3.18032e-05 | 2.47877e-08 / -2.47877e-08 | 4.95782e-08 / -4.95782e-08 | 1.12246e-06 / -1.12246e-06 | 0.00104062 / -0.00104062 |
 | gamma_stat_Signal_bin_14 | 0.000942644 / -0.000942644 | 1.34451e-05 / -1.34451e-05 | 5.23915e-05 / -5.23915e-05 | 4.42625e-05 / -4.42625e-05 | 2.83669e-08 / -2.83669e-08 | 5.67368e-08 / -5.67368e-08 | 1.28454e-06 / -1.28454e-06 | 1.93328e-07 / -1.93328e-07 |
 | gamma_stat_Signal_bin_15 | 0.000767779 / -0.000767779 | 3.35333e-05 / -3.35333e-05 | 6.02771e-05 / -6.02771e-05 | 0.000199868 / -0.000199868 | 3.24577e-08 / -3.24577e-08 | 6.4919e-08 / -6.4919e-08 | 0.000866167 / -0.000866167 | 2.21208e-07 / -2.21208e-07 |
 | gamma_stat_Signal_bin_16 | 0.000669928 / -0.000669928 | 0.000159991 / -0.000159991 | 9.14206e-05 / -9.14206e-05 | 1.83582e-08 / -1.83582e-08 | 3.35757e-08 / -3.35757e-08 | 6.7155e-08 / -6.7155e-08 | 0.00296224 / -0.00296224 | 2.28827e-07 / -2.28827e-07 |
 | gamma_stat_Signal_bin_17 | 0.00068939 / -0.00068939 | 6.41926e-05 / -6.41926e-05 | 3.72491e-05 / -3.72491e-05 | 0.000233133 / -0.000233133 | 3.88312e-08 / -3.88312e-08 | 7.76666e-08 / -7.76666e-08 | 1.75839e-06 / -1.75839e-06 | 2.64645e-07 / -2.64645e-07 |
 | gamma_stat_Signal_bin_18 | 0.000637616 / -0.000637616 | 7.38417e-05 / -7.38417e-05 | 0.000145875 / -0.000145875 | 0.000194377 / -0.000194377 | 4.16076e-08 / -4.16076e-08 | 8.32197e-08 / -8.32197e-08 | 1.88412e-06 / -1.88412e-06 | 2.83566e-07 / -2.83566e-07 |
 | gamma_stat_Signal_bin_19 | 0.000598798 / -0.000598798 | 3.70129e-05 / -3.70129e-05 | 2.06e-06 / -2.06e-06 | 2.49761e-08 / -2.49761e-08 | 4.56794e-08 / -4.56794e-08 | 9.13639e-08 / -9.13639e-08 | 2.0685e-06 / -2.0685e-06 | 3.11317e-07 / -3.11317e-07 |
