 |       | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | gamma_stat_Wjets_CR_bin_10 | 0.000509149 / -0.000509149 | 0.000469938 / -0.000469938 | 0.000565472 / -0.000565472 | 0.000440472 / -0.000440472 | 0.000468253 / -0.000468253 | 0.000340393 / -0.000340393 | 8.15096e-05 / -8.15096e-05 |
 | gamma_stat_Wjets_CR_bin_11 | 0.000404972 / -0.000404972 | 0.000458333 / -0.000458333 | 0.000493065 / -0.000493065 | 0.000475036 / -0.000475036 | 0.000406161 / -0.000406161 | 0.000335755 / -0.000335755 | 0.00034092 / -0.00034092 |
 | gamma_stat_Wjets_CR_bin_12 | 0.000389056 / -0.000389056 | 0.000419214 / -0.000419214 | 0.000463806 / -0.000463806 | 0.000339743 / -0.000339743 | 0.000290655 / -0.000290655 | 0.000441275 / -0.000441275 | 4.90626e-06 / -4.90626e-06 |
 | gamma_stat_Wjets_CR_bin_13 | 0.000372017 / -0.000372017 | 0.000345312 / -0.000345312 | 0.000445171 / -0.000445171 | 0.000324451 / -0.000324451 | 0.000279733 / -0.000279733 | 0.000414886 / -0.000414886 | 0.000265548 / -0.000265548 |
 | gamma_stat_Wjets_CR_bin_14 | 0.000355846 / -0.000355846 | 0.000345118 / -0.000345118 | 0.000443417 / -0.000443417 | 0.00031272 / -0.00031272 | 0.000243957 / -0.000243957 | 0.000294264 / -0.000294264 | 0.002365 / -0.002365 |
 | gamma_stat_Wjets_CR_bin_15 | 0.000286128 / -0.000286128 | 0.000264196 / -0.000264196 | 0.000379297 / -0.000379297 | 0.000249458 / -0.000249458 | 0.000106818 / -0.000106818 | 0.00043787 / -0.00043787 | 9.17278e-05 / -9.17278e-05 |
 | gamma_stat_Wjets_CR_bin_16 | 0.000238237 / -0.000238237 | 0.000236316 / -0.000236316 | 0.000345222 / -0.000345222 | 0.000234295 / -0.000234295 | 0.00011857 / -0.00011857 | 0.000259077 / -0.000259077 | 3.19368e-06 / -3.19368e-06 |
 | gamma_stat_Wjets_CR_bin_17 | 0.000215478 / -0.000215478 | 0.000226442 / -0.000226442 | 0.000287075 / -0.000287075 | 0.000131742 / -0.000131742 | 0.000229127 / -0.000229127 | 0.000272407 / -0.000272407 | 0.000235145 / -0.000235145 |
 | gamma_stat_Wjets_CR_bin_18 | 0.000210745 / -0.000210745 | 0.00016375 / -0.00016375 | 0.000217026 / -0.000217026 | 0.000128363 / -0.000128363 | 0.000194608 / -0.000194608 | 0.000155507 / -0.000155507 | 0.000624927 / -0.000624927 |
 | #mu_{W+jets} | 0.263881 / -0.263881 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
