 |       | RSn1 | Mth=6.0 TeV      | W+jets      | Z+jets      | VV      | t#bar{t}      | single-t      | t#bar{t}V      | jj |
 | gamma_stat_Signal_bin_0 | 0.000332182 / -0.000332182 | 0.0342253 / -0.0342253 | 0.0346418 / -0.0346418 | 0.0339033 / -0.0339033 | 0.0359798 / -0.0359798 | 0.0288932 / -0.0288932 | 0.0260305 / -0.0260305 | 0.0104865 / -0.0104865 |
 | gamma_stat_Signal_bin_1 | 0.000715935 / -0.000715935 | 0.00841769 / -0.00841769 | 0.00798271 / -0.00798271 | 0.00980899 / -0.00980899 | 0.00869059 / -0.00869059 | 0.00803038 / -0.00803038 | 0.00772008 / -0.00772008 | 0.0321259 / -0.0321259 |
 | gamma_stat_Signal_bin_2 | 0.00131067 / -0.00131067 | 0.00250426 / -0.00250426 | 0.00317533 / -0.00317533 | 0.00284145 / -0.00284145 | 0.000892995 / -0.000892995 | 0.00909707 / -0.00909707 | 0.00498403 / -0.00498403 | 0.00259856 / -0.00259856 |
 | gamma_stat_Signal_bin_3 | 0.00192649 / -0.00192649 | 0.000974404 / -0.000974404 | 0.000718018 / -0.000718018 | 0.000564059 / -0.000564059 | 0.000857163 / -0.000857163 | 7.60608e-09 / -7.60608e-09 | 0.00105614 / -0.00105614 | 1.03007e-05 / -1.03007e-05 |
 | gamma_stat_Signal_bin_4 | 0.0024138 / -0.0024138 | 0.000370391 / -0.000370391 | 0.000293768 / -0.000293768 | 0.000182293 / -0.000182293 | 0.000255557 / -0.000255557 | 6.21426e-09 / -6.21425e-09 | 0.00118438 / -0.00118438 | 3.70551e-05 / -3.70551e-05 |
 | gamma_stat_Signal_bin_5 | 0.0026206 / -0.0026206 | 0.000142227 / -0.000142227 | 0.00010941 / -0.00010941 | 0.000115051 / -0.000115051 | 2.90911e-09 / -2.90911e-09 | 5.8182e-09 / -5.8182e-09 | 0.000329589 / -0.000329589 | 2.99083e-05 / -2.99083e-05 |
 | gamma_stat_Signal_bin_6 | 0.00245206 / -0.00245206 | 0.000104045 / -0.000104045 | 8.16284e-05 / -8.16284e-05 | 3.7198e-05 / -3.7198e-05 | 0.000773879 / -0.000773879 | 6.07141e-09 / -6.07141e-09 | 1.37473e-07 / -1.37473e-07 | 1.39806e-07 / -1.39806e-07 |
 | gamma_stat_Signal_bin_7 | 0.00229187 / -0.00229187 | 7.27596e-05 / -7.27596e-05 | 0.000101625 / -0.000101625 | 2.58868e-05 / -2.58868e-05 | 0.000344989 / -0.000344989 | 6.65244e-09 / -6.65244e-09 | 1.50629e-07 / -1.50629e-07 | 5.9693e-06 / -5.9693e-06 |
 | gamma_stat_Signal_bin_8 | 0.00200126 / -0.00200126 | 8.51458e-05 / -8.51458e-05 | 8.50173e-05 / -8.50173e-05 | 0.000114616 / -0.000114616 | 3.79233e-09 / -3.79233e-09 | 7.58462e-09 / -7.58462e-09 | 1.71736e-07 / -1.71736e-07 | 1.2729e-07 / -1.2729e-07 |
 | gamma_stat_Signal_bin_9 | 0.00169885 / -0.00169885 | 1.99843e-05 / -1.99843e-05 | 1.32837e-05 / -1.32837e-05 | 0.000107041 / -0.000107041 | 4.43213e-09 / -4.43213e-09 | 8.86422e-09 / -8.86422e-09 | 2.0071e-07 / -2.0071e-07 | 1.75548e-07 / -1.75548e-07 |
 | gamma_stat_Signal_bin_10 | 0.00136463 / -0.00136463 | 0.000112135 / -0.000112135 | 0.000111427 / -0.000111427 | 3.74517e-05 / -3.74517e-05 | 5.17345e-09 / -5.17345e-09 | 1.03468e-08 / -1.03468e-08 | 2.3428e-07 / -2.3428e-07 | 3.42356e-08 / -3.42356e-08 |
 | gamma_stat_Signal_bin_11 | 0.00127514 / -0.00127514 | 0.000144904 / -0.000144904 | 0.000105998 / -0.000105998 | 1.42376e-05 / -1.42376e-05 | 6.05602e-09 / -6.05602e-09 | 1.2112e-08 / -1.2112e-08 | 2.74248e-07 / -2.74248e-07 | 4.41625e-08 / -4.41625e-08 |
